Age,Gender,Academic_Level,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Addicted_Score,Age_Group,Country,Relationship_Status
21,Male,Undergraduate,,Instagram,No,7.5,7,2,5,20-24,Finland,In Relationship
23,Female,Graduate,,Facebook,Yes,6.2,5,4,8,20-24,Spain,Single
20,Male,Undergraduate,,Twitter,No,7.3,7,2,5,20-24,Denmark,In Relationship
22,Female,Graduate,,Instagram,Yes,6.5,6,3,7,20-24,Ireland,Single
19,Male,Undergraduate,,TikTok,Yes,5.7,4,5,9,15-19,India,Single
24,Female,Graduate,,Facebook,No,7.2,7,2,5,20-24,Switzerland,In Relationship
21,Male,Undergraduate,,Instagram,Yes,6.0,5,4,8,20-24,Turkey,Single
23,Female,Graduate,,Twitter,Yes,6.8,6,3,7,20-24,USA,In Relationship
22,Male,Graduate,,Facebook,Yes,6.2,5,4,8,20-24,Mexico,Single
20,Female,Undergraduate,,Instagram,No,7.1,7,2,5,20-24,France,In Relationship
23,Male,Graduate,,TikTok,Yes,6.6,6,3,7,20-24,Canada,Single
21,Female,Undergraduate,,Twitter,Yes,6.3,5,4,8,20-24,UK,Single
24,Male,Graduate,,Facebook,No,7.2,7,2,5,20-24,Italy,In Relationship
19,Female,Undergraduate,,Instagram,Yes,5.9,4,5,9,15-19,Russia,Single
22,Male,Graduate,,WeChat,Yes,6.7,6,3,7,20-24,China,In Relationship
20,Female,Undergraduate,,Twitter,No,7.5,8,2,4,20-24,Japan,Single
23,Male,Graduate,,TikTok,Yes,6.3,5,4,8,20-24,Poland,Single
21,Female,Undergraduate,,Instagram,No,7.4,7,2,5,20-24,Finland,In Relationship
24,Male,Graduate,,Facebook,Yes,6.1,5,4,8,20-24,Spain,Single
19,Female,Undergraduate,,Twitter,No,7.3,7,2,5,15-19,Denmark,In Relationship
22,Male,Graduate,,Instagram,Yes,6.6,6,3,7,20-24,Ireland,Single
20,Female,Undergraduate,,TikTok,Yes,5.8,4,5,9,20-24,India,Single
23,Male,Graduate,,Facebook,No,7.3,7,2,5,20-24,Switzerland,In Relationship
21,Female,Undergraduate,,Instagram,Yes,6.0,5,4,8,20-24,Turkey,Single
24,Male,Graduate,,Twitter,Yes,6.8,6,3,7,20-24,USA,In Relationship
19,Female,Undergraduate,,TikTok,Yes,6.2,5,4,8,15-19,Mexico,Single
22,Male,Graduate,,Facebook,No,7.2,7,2,5,20-24,France,In Relationship
20,Female,Undergraduate,,Instagram,Yes,6.7,6,3,7,20-24,Canada,Single
23,Male,Graduate,,Twitter,Yes,6.2,5,4,8,20-24,UK,Single
21,Female,Undergraduate,,TikTok,No,7.1,7,2,5,20-24,Italy,In Relationship
24,Male,Graduate,,Instagram,Yes,5.9,4,5,9,20-24,Russia,Single
19,Female,Undergraduate,,WeChat,Yes,6.7,6,3,7,15-19,China,In Relationship
22,Male,Graduate,,Twitter,No,7.4,8,2,4,20-24,Japan,Single
20,Female,Undergraduate,,Facebook,Yes,6.4,5,4,8,20-24,Poland,Single
23,Male,Graduate,,Instagram,No,7.5,7,2,5,20-24,Finland,In Relationship
21,Female,Undergraduate,,TikTok,Yes,6.2,5,4,8,20-24,Spain,Single
24,Male,Graduate,,Twitter,No,7.3,7,2,5,20-24,Denmark,In Relationship
19,Female,Undergraduate,,Instagram,Yes,6.5,6,3,7,15-19,Ireland,Single
22,Male,Graduate,,Facebook,Yes,5.7,4,5,9,20-24,India,Single
20,Female,Undergraduate,,TikTok,No,7.2,7,2,5,20-24,Switzerland,In Relationship
23,Male,Graduate,,Instagram,Yes,6.0,5,4,8,20-24,Turkey,Single
21,Female,Undergraduate,,Twitter,Yes,6.8,6,3,7,20-24,USA,In Relationship
24,Male,Graduate,,Facebook,Yes,6.3,5,4,8,20-24,Mexico,Single
19,Female,Undergraduate,,Instagram,No,7.2,7,2,5,15-19,France,In Relationship
22,Male,Graduate,,TikTok,Yes,6.6,6,3,7,20-24,Canada,Single
20,Female,Undergraduate,,Twitter,Yes,6.4,5,4,8,20-24,UK,Single
23,Male,Graduate,,Facebook,No,7.1,7,2,5,20-24,Italy,In Relationship
21,Female,Undergraduate,,Instagram,Yes,6.0,4,5,9,20-24,Russia,Single
24,Male,Graduate,,WeChat,Yes,6.8,6,3,7,20-24,China,In Relationship
19,Female,Undergraduate,,Twitter,No,7.5,8,2,4,15-19,Japan,Single
22,Male,Graduate,,TikTok,Yes,6.2,5,4,8,20-24,Poland,Single
20,Female,Undergraduate,,Instagram,No,7.4,7,2,5,20-24,Finland,In Relationship
23,Male,Graduate,,Facebook,Yes,6.1,5,4,8,20-24,Spain,Single
21,Female,Undergraduate,,Twitter,No,7.3,7,2,5,20-24,Denmark,In Relationship
24,Male,Graduate,,Instagram,Yes,6.5,6,3,7,20-24,Ireland,Single
19,Female,Undergraduate,,TikTok,Yes,5.8,4,5,9,15-19,India,Single
22,Male,Graduate,,Facebook,No,7.3,7,2,5,20-24,Switzerland,In Relationship
20,Female,Undergraduate,,Instagram,Yes,6.1,5,4,8,20-24,Turkey,Single
23,Male,Graduate,,Twitter,Yes,6.7,6,3,7,20-24,USA,In Relationship
21,Female,Undergraduate,,TikTok,Yes,6.2,5,4,8,20-24,Mexico,Single
24,Male,Graduate,,Facebook,No,7.1,7,2,5,20-24,France,In Relationship
19,Female,Undergraduate,,Instagram,Yes,6.6,6,3,7,15-19,Canada,Single
22,Male,Graduate,,Twitter,Yes,6.3,5,4,8,20-24,UK,Single
20,Female,Undergraduate,,TikTok,No,7.2,7,2,5,20-24,Italy,In Relationship
23,Male,Graduate,,Instagram,Yes,5.9,4,5,9,20-24,Russia,Single
21,Female,Undergraduate,,WeChat,Yes,6.7,6,3,7,20-24,China,In Relationship
24,Male,Graduate,,Twitter,No,7.5,8,2,4,20-24,Japan,Single
19,Female,Undergraduate,,Facebook,Yes,6.3,5,4,8,15-19,Poland,Single
